,R_t,I_t,N_t,T_t,P_t,pct_positive
167,1.8258462259491772,5228489,5266265,18726,9433,50.373811812453276
168,1.8520587339178396,5414237,5452013,18832,9340,49.5964316057774
169,1.778705436636436,5570256,5608032,18938,9444,49.86799028408491
170,1.8915326087362863,5700451,5738226,19044,9604,50.430581810544005
171,1.876725568796823,5828568,5866344,19150,9584,50.04699738903394
172,1.931968796980609,5937593,5975368,19256,9638,50.0519318653926
173,1.9009673296603886,6032278,6070053,19363,9688,50.033569178329806
174,1.896570616448657,6109447,6147222,19469,9570,49.15506702963686
175,1.9477825166972178,6161061,6198837,19575,9806,50.09450830140485
176,1.9570379862119405,6197786,6235562,19681,9783,49.70784004877801
177,1.9469560544346776,6221868,6259644,19787,9807,49.562844291706675
178,1.8700456683979034,6221868,6259644,19893,9938,49.95727140200071
179,1.7904442830670266,6187763,6225539,20000,10040,50.2
